date,"Fairfield, CT","Hartford, CT","Litchfield, CT","New Haven, CT","Bergen, NJ","Hudson, NJ","Monmouth, NJ","Morris, NJ","Nassau, NY","Suffolk, NY","Westchester, NY","NYC, NY"
2021-01-17,0.42700000000000005,11,34,2.75,12.6,7.39,19.5,7.85,4.99,15.1,-1.6500000000000001,-9.48
2021-01-18,0.14400000000000002,10.9,33.1,-1.8800000000000001,12.5,2.04,19.2,8.19,5.1,15.4,-1.79,-9.59
2021-01-19,0.752,10.7,23.7,-6.16,1.6,-0.0493,9.69,1.06,-3.7199999999999998,6.29,-10.4,-15.299999999999999
2021-01-20,-4.78,-0.872,22.2,-6.29,-0.124,-1.63,7.7299999999999995,-0.762,-5.99,4.97,-11.5,-18
2021-01-21,-3.1300000000000003,-4.73,26.6,-7.8100000000000005,-2.52,-3.65,6.63,-2.3800000000000003,-5.92,4.2,-13.3,-18.099999999999998
2021-01-22,-7.5600000000000005,-2.5700000000000003,18.099999999999998,-7.9399999999999995,0.0672,-1.68,6.3,-1.87,-5.56,5.220000000000001,-12.4,-17.5
2021-01-23,1.4000000000000001,10.2,27.900000000000002,2.48,12,6.52,18.099999999999998,9.94,5.64,16.6,-2.4899999999999998,-10.2
2021-01-24,1.5599999999999998,10.100000000000001,32.2,2.44,11.899999999999999,6.38,17.9,10.299999999999999,5.75,16.8,-2.63,-10.299999999999999
2021-01-25,2.19,14.7,32.2,2.07,12.2,9.17,17.1,12.7,7.12,16.8,0.565,-9.62
2021-01-26,-0.5459999999999999,17.7,28.799999999999997,2.4699999999999998,13.4,11,16.8,9.56,8.05,17.2,-1.59,-10.4
2021-01-27,-2.75,9.92,25.1,-1.76,10.8,7.71,14.799999999999999,4.6,4.34,13.700000000000001,-3.49,-10.6
2021-01-28,-3.3300000000000005,8.690000000000001,18.9,-3.4299999999999997,6.03,7.7299999999999995,14.000000000000002,0.316,2.42,12.3,-4.83,-11.700000000000001
2021-01-29,0.09709999999999999,6.4,24.3,-1.4200000000000002,6.069999999999999,7.28,14.7,1.76,2.81,10.6,-6.370000000000001,-11.600000000000001
2021-01-30,2.45,7.489999999999999,33.900000000000006,1.06,7.870000000000001,7.68,18.3,5.63,5.36,14.099999999999998,-4.07,-11.1
2021-01-31,3.32,9.67,38.9,3.65,10.2,7.23,17.5,7.46,6.12,15.4,-2.37,-11.200000000000001
2021-02-01,1.6199999999999999,9.520000000000001,35,0.243,5.140000000000001,3.93,17.8,8.129999999999999,5.91,15.299999999999999,-3.36,-14.399999999999999
2021-02-02,1.15,2.3,30.7,-2.17,0.9730000000000001,-0.616,8.92,1.6,-1.08,8.469999999999999,-11.4,-15.2
2021-02-03,2.59,7.430000000000001,32.300000000000004,1.08,3.58,-0.45599999999999996,11,5.4,2.07,11.5,-9.71,-12.8
2021-02-04,4.55,10.5,38.1,4.71,10.299999999999999,-0.247,15,10.100000000000001,5.58,14.2,-9.26,-11.600000000000001
2021-02-05,5.2299999999999995,12,40.6,5.48,10.8,2.27,17.7,12.6,8.06,17.2,-7.13,-9.84
2021-02-06,6.52,12.2,39.900000000000006,6.7299999999999995,12.7,4.65,20.3,13.8,8.88,18.099999999999998,-7.04,-7.670000000000001
2021-02-07,4.46,8.59,32.7,2.4899999999999998,10.4,6.800000000000001,20.1,12.1,4.6,14.299999999999999,-9.29,-7.39
2021-02-08,6.49,11.200000000000001,35.6,7.08,10.6,9.959999999999999,19.7,12,8.63,14.000000000000002,-7.969999999999999,-5.510000000000001
2021-02-09,7.7700000000000005,9.41,38.5,8.68,20,12.8,28.7,19.7,10.9,19.900000000000002,1.0699999999999998,-3.5900000000000003
2021-02-10,4.26,4.65,36.3,4.16,17.1,13.200000000000001,27.700000000000003,16.6,8.959999999999999,17.5,-1.92,-6.529999999999999
2021-02-11,0.457,0.604,33.5,2.65,12.2,9.93,18.6,11.899999999999999,4.91,14.6,-4.12,-7.5200000000000005
2021-02-12,4.24,4.67,32,2.29,14.299999999999999,10.9,24,15.4,6.4,16.400000000000002,-0.455,-8.03
2021-02-13,2.33,5.07,28.599999999999998,2.78,12.8,10.2,17.8,11.799999999999999,2.03,13.3,-0.659,-9.46
2021-02-14,1.5599999999999998,6.23,32,2.77,11.799999999999999,7.870000000000001,17.4,10.9,3.16,12.3,-0.0712,-10
2021-02-15,4.24,10.100000000000001,32.7,7.1,11,7.55,15.2,9.030000000000001,-0.379,13.4,1.04,-7.920000000000001
2021-02-16,1.6,9.180000000000001,39.900000000000006,4.16,13.700000000000001,5.220000000000001,18.4,9.56,1.73,12.3,0.12,-8.95
2021-02-17,3.47,11.5,41.5,7.24,15.5,8.83,19.8,11.3,3.55,16,2.1399999999999997,-6.569999999999999
2021-02-18,6.619999999999999,12,51.1,9.22,14.299999999999999,8.24,16,8.73,-0.0314,13.700000000000001,1.38,-7.66
2021-02-19,1.28,5.489999999999999,35.5,-0.08760000000000001,12.2,3.8,11,6.1899999999999995,-2.87,12.7,-2.53,-9.47
2021-02-20,-3.1199999999999997,1.41,32.800000000000004,-4.33,8.93,3.2,13.900000000000002,0.411,-0.306,9.01,-5.140000000000001,-10.7
2021-02-21,1.17,5.19,36.8,-1.23,12.4,5.62,17.2,4.3,1.3299999999999998,12.9,-3.52,-9.99
2021-02-22,2.69,10.100000000000001,40.1,-1.1900000000000002,13.4,8.18,20.5,3.45,1.43,14.6,-5.24,-8.35
2021-02-23,4.66,9.4,42.6,-0.307,12.9,10.6,20.200000000000003,4.12,2.8000000000000003,14.6,-5.47,-8.540000000000001
2021-02-24,4.35,7.62,42,0.494,14.399999999999999,13.5,20.4,6.16,1.9800000000000002,12.2,-4.99,-8.94
2021-02-25,7.79,7.85,44.6,4.68,14.2,15.4,19.2,7.5200000000000005,6.0600000000000005,15.7,-1.77,-6.329999999999999
2021-02-26,10.4,16.7,52.300000000000004,2.8899999999999997,23.1,16.1,29.5,18.8,6.1,16.1,0.43299999999999994,-7.04
2021-02-27,7.07,13.200000000000001,49.6,8.07,18.9,15.5,25.2,15.2,4.32,13.200000000000001,-2.44,-7.6899999999999995
2021-02-28,-0.28400000000000003,9.86,42.199999999999996,4.54,15.6,12.1,20.7,9.94,2.5100000000000002,9.15,-6.819999999999999,-9.49
2021-03-01,-0.0629,6.03,40.6,4.02,15.9,11.1,19.6,10,5.89,10,-7.109999999999999,-11.4
2021-03-02,-0.851,6.74,38.800000000000004,5,14.499999999999998,10.9,20,12.4,4.4799999999999995,10.9,-6.18,-12.3
2021-03-03,-2.94,6.21,35.699999999999996,2.54,11.200000000000001,9.120000000000001,17.1,8.799999999999999,3.5700000000000003,9.9,-7.779999999999999,-12.2
2021-03-04,-3.04,5.11,35.9,2.3,8.94,7.630000000000001,14.799999999999999,6.15,4.08,9.84,-6.25,-12.4
2021-03-05,-0.07919999999999999,6.03,37.5,2.27,8.91,7.5600000000000005,14.7,7.9799999999999995,6.52,11.4,-5.84,-11.4
2021-03-06,1.03,9.139999999999999,36.199999999999996,4.79,10.7,9.25,16.8,9.41,6.58,14.299999999999999,-6.140000000000001,-9.4
2021-03-07,4.859999999999999,9.85,40.400000000000006,5.66,12.9,10.5,20.4,12.6,9.74,18.2,-3.2199999999999998,-7.960000000000001
2021-03-08,3.46,11.700000000000001,32.5,6.6000000000000005,12.5,11.3,20.5,11.799999999999999,9.139999999999999,18.4,-1.8399999999999999,-7.249999999999999
2021-03-09,2.44,9.29,33.1,4.5600000000000005,14.399999999999999,10.299999999999999,20.200000000000003,9.5,10.4,17,-3.7800000000000002,-7.7299999999999995
2021-03-10,4.4799999999999995,12.3,38.6,6.93,15.6,12.1,22.5,9.950000000000001,11.1,19.3,-3.2399999999999998,-8.24
2021-03-11,3.6999999999999997,12,41.5,6.83,16.7,11.799999999999999,22.900000000000002,9.51,8.4,18.7,-5.08,-8.07
2021-03-12,1.81,11.600000000000001,44.5,7.51,15.7,10.299999999999999,23.9,7.340000000000001,7.59,18,-4.2700000000000005,-8.04
2021-03-13,3.2099999999999995,11.600000000000001,48.3,8.24,13.5,6.4,22.900000000000002,5.54,6.16,16.900000000000002,-4.95,-9.629999999999999
2021-03-14,2.39,11.1,49.7,9.36,11.899999999999999,4.83,21,6.02,3.09,15,-4.71,-10.299999999999999
2021-03-15,5.08,10.5,48.5,9.959999999999999,12.4,4.2,19.900000000000002,7.59,2.22,14.399999999999999,-2.04,-10.299999999999999
2021-03-16,4.73,13.4,58.8,9.93,11.1,2.71,19.7,9.49,2.25,15,-1.2,-9.26
2021-03-17,5.2,13.200000000000001,56.89999999999999,11.600000000000001,11.899999999999999,-0.84,19.8,9.700000000000001,4.21,17.4,-1.1199999999999999,-9.02
2021-03-18,7.359999999999999,12.4,47.099999999999994,12.8,12.5,9.73,21.8,9.81,5.18,19.3,0.992,-9.379999999999999
2021-03-19,9.34,13.700000000000001,47.5,14.7,15.4,10.2,21.4,10.6,6.1899999999999995,21,2.85,-9.59
2021-03-20,7.5200000000000005,12.7,42.4,14.499999999999998,18.9,11.700000000000001,21.8,12.6,10.8,23.3,4.29,-7.960000000000001
2021-03-21,9.04,13.900000000000002,41,16.400000000000002,20.5,13.4,22.8,14.000000000000002,14.2,26.5,3.47,-7.22
2021-03-22,8.53,18.6,39.1,16.900000000000002,20.8,15.4,23.5,14.000000000000002,16.3,28.499999999999996,2.9899999999999998,-6
2021-03-23,10.5,18.7,39.2,17.7,21.7,19.8,24.3,12.2,15.9,28.999999999999996,2.64,-7.19
2021-03-24,8.9,16,36.8,15,20.8,19,21.4,13.5,14.499999999999998,24.8,2.5100000000000002,-8.77
2021-03-25,7.12,17.9,42.5,14.6,19.5,10.8,20.599999999999998,12,16,23.799999999999997,1.6,-8.52
2021-03-26,5.9799999999999995,17.4,47,13,18,11.200000000000001,22.7,13.900000000000002,15.8,23.9,0.747,-7.01
2021-03-27,6.67,15.9,51.1,13.100000000000001,15.9,9.4,21.2,13.200000000000001,13,23.599999999999998,-0.281,-8.459999999999999
2021-03-28,5.96,15.2,48.6,9.82,13.900000000000002,8.870000000000001,20.5,8.7,10.299999999999999,20.9,-0.262,-8.55
2021-03-29,4.6,9.86,48.199999999999996,9.45,12.8,7.3999999999999995,22.1,8.39,9.91,22.2,-0.6669999999999999,-8.6
2021-03-30,4.760000000000001,10.299999999999999,51.5,10.5,12.8,6.5600000000000005,22.7,8.97,11.5,24,0.0509,-5.79
2021-03-31,6.01,11,53.800000000000004,11.700000000000001,13.600000000000001,8.06,26.3,7.720000000000001,11.1,25,0.127,-4.42
2021-04-01,6.17,9.700000000000001,57.9,10.6,16,7.969999999999999,26.200000000000003,12.9,9.11,24.2,-1.0999999999999999,-3.58
2021-04-02,6.950000000000001,10.7,55.1,11.799999999999999,17.9,8.200000000000001,27.200000000000003,14.799999999999999,8.64,23.7,-2.08,-4.63
2021-04-03,6.1899999999999995,11.700000000000001,53.6,10.8,19.3,9.6,29.4,15.5,9.049999999999999,23.599999999999998,-1.68,-4.44
2021-04-04,3.7800000000000002,5.96,46.6,7.670000000000001,18.2,8.05,24.3,12.6,5.06,18.3,-4.32,-7.57
2021-04-05,4.31,7.829999999999999,44.5,8.38,18.3,8.68,23.599999999999998,12.5,2.8899999999999997,15.5,-5.07,-7.88
2021-04-06,1.77,5.99,41.4,6.7299999999999995,17.8,8.73,22.3,11.600000000000001,0.966,13.700000000000001,-5.48,-8.6
2021-04-07,1.6199999999999999,5.220000000000001,41,4.760000000000001,17.1,7.109999999999999,20,10.5,-0.241,13,-4.82,-9.07
2021-04-08,2.39,4.06,37.6,4.72,16.6,4.04,19,5.96,0.046,13.5,-4.54,-9.39
2021-04-09,1.97,3.5000000000000004,30.7,4.17,14.000000000000002,2.25,18.3,3.63,-0.3,12.8,-3.4799999999999995,-9.54
2021-04-10,2.21,3.45,27,4.15,13.5,2.6100000000000003,15.9,3.17,0.313,12,-3.9600000000000004,-9.48
2021-04-11,4,9.51,34.2,8.780000000000001,15.9,4.6899999999999995,21,7.76,6.16,18.099999999999998,-1.95,-6.59
2021-04-12,5.680000000000001,9.48,39.4,10.5,19.1,3.36,20.3,7.13,9.54,20.3,-1.31,-6.78
2021-04-13,7.779999999999999,11.5,39.300000000000004,12.6,19.3,5.949999999999999,21.5,8.559999999999999,9.520000000000001,20.4,-1.03,-7.28
2021-04-14,7.53,13.3,36.7,14.299999999999999,20.1,7.3,21.4,10.5,12,20.8,-1.08,-7.3
2021-04-15,5.57,13.600000000000001,37.3,14.299999999999999,17.7,9.43,21.2,9.520000000000001,11.799999999999999,20.5,-2.4299999999999997,-8.290000000000001
2021-04-16,5.65,13,39.7,12.5,17.5,9.71,20.8,8.39,10.4,20.3,-4.45,-8.89
2021-04-17,4.95,14.299999999999999,44,11.799999999999999,16.3,10.5,22.8,8.97,9.31,20.200000000000003,-4.2299999999999995,-8.290000000000001
2021-04-18,5.63,13.3,48.199999999999996,10.8,16.3,10.9,23.799999999999997,8.75,7.99,19.1,-4.8500000000000005,-7.2700000000000005
2021-04-19,1.13,10.4,39,9.83,13.100000000000001,11.700000000000001,22.900000000000002,8.92,5.41,15,-7.39,-7.17
2021-04-20,0.849,7.59,41.5,3.8699999999999997,13.3,10.6,20.4,7.960000000000001,5.19,14.7,-9.33,-6.710000000000001
2021-04-21,3.94,11.799999999999999,49,5.42,16.6,10.8,24.9,11.200000000000001,8.129999999999999,18.9,-7.86,-3.88
2021-04-22,4.8,12.2,48.199999999999996,5.33,17.7,13.4,24.8,13,9.68,21.2,-8.28,-2.36
2021-04-23,3.84,9.92,50.6,4.24,18.8,15.8,23,11.899999999999999,8.780000000000001,20.7,-7.17,-3.2
2021-04-24,3.64,7.37,50.9,3.6999999999999997,19.2,14.899999999999999,20,10.9,7.39,18.6,-6.15,-4.5600000000000005
2021-04-25,3.46,5.58,48.6,4.14,20,12.4,19.2,12.5,6.08,18.6,-4.9,-4.73
2021-04-26,8.53,9.48,56.8,8.05,22.6,11.4,19.8,14.299999999999999,8.450000000000001,21.9,-2.44,-4.2700000000000005
2021-04-27,7.9,10.7,55.50000000000001,8.32,21.3,10.2,21.8,14.499999999999998,8.81,22.400000000000002,-1.0999999999999999,-4.89
2021-04-28,3.8,5.3100000000000005,47.199999999999996,5.220000000000001,18.3,11.3,17.299999999999997,9.93,4.390000000000001,18.5,-2.77,-7.31
2021-04-29,6.16,5.87,46.6,6.5600000000000005,18.5,12.6,18.099999999999998,13.600000000000001,3.2199999999999998,15,-0.337,-7.03
2021-04-30,7.35,9.17,43.7,8.98,20,9.92,18.9,14.099999999999998,5.54,15.4,-0.27299999999999996,-5.19
2021-05-01,6.97,9.69,39.6,9.67,19.1,11.1,20.3,12,5.19,17.2,-1.81,-3.5700000000000003
2021-05-02,6.890000000000001,10.7,37.8,10.8,17.8,11.899999999999999,20.5,9.26,6.279999999999999,18.4,-1.6500000000000001,-3.63
2021-05-03,6.9,9.16,38,11.700000000000001,17.2,14.299999999999999,22.1,9.31,4.6899999999999995,19.2,-0.734,-2.73
2021-05-04,8.24,8.97,34.4,12.6,18.9,15.2,22.7,10,6.260000000000001,19.900000000000002,1.39,-1.97
2021-05-05,9.27,9.33,38.1,13.200000000000001,17.8,14.6,23.799999999999997,10.9,6.569999999999999,20.3,0.8240000000000001,-0.9740000000000001
2021-05-06,7.249999999999999,9.65,40,11.700000000000001,18.4,11.200000000000001,23.1,9.06,6.75,20.4,0.146,-0.398
2021-05-07,6.32,8.34,40.5,11.799999999999999,16.5,13.8,25,12.3,7.7,21.6,1.17,0.08750000000000001
2021-05-08,9.78,9.21,44.5,12.2,18.5,16.8,27.700000000000003,16.7,10.8,23.1,1.9900000000000002,0.0232
2021-05-09,10.8,8.63,41.699999999999996,10.8,20.200000000000003,18.2,25.7,17.299999999999997,9.969999999999999,22.1,-0.42,-0.774
2021-05-10,9.15,8.06,39.300000000000004,10.100000000000001,19.5,17.5,23.400000000000002,15.7,9.56,20.3,-3.64,-2.73
2021-05-11,9,8.55,45.5,9.46,17.599999999999998,16,22.400000000000002,12.8,8.28,17.5,-6.81,-3.6799999999999997
2021-05-12,8.309999999999999,8.649999999999999,43.2,9.45,18.7,16.900000000000002,23.599999999999998,13.600000000000001,8.91,18.3,-5.67,-3.82
2021-05-13,9.02,8.559999999999999,40.9,11.200000000000001,20.200000000000003,17.4,26.200000000000003,13.3,10.299999999999999,19.900000000000002,-5.42,-3.7199999999999998
2021-05-14,8.88,8.82,36.9,9.9,22.400000000000002,16.900000000000002,26.3,12.6,11.200000000000001,20.8,-6.88,-3.08
2021-05-15,5.8999999999999995,9.47,37,9.43,20.7,12.8,23.3,9.73,9.48,19.400000000000002,-6.04,-3.7600000000000002
2021-05-16,4.84,10.7,39.7,9.58,21.3,12.8,25.7,11.600000000000001,12,20.7,-3.5700000000000003,-2.93
2021-05-17,5.779999999999999,11.899999999999999,40.300000000000004,8.85,23.400000000000002,12.5,27.700000000000003,13,13,23,1.24,-0.975
2021-05-18,7.26,12.9,40.400000000000006,9.35,25.7,15.1,30.099999999999998,16.3,13.5,26.900000000000002,3.0300000000000002,0.22200000000000003
2021-05-19,7.37,12.3,40.1,9.13,25.8,14.6,30.099999999999998,15.6,13,26.900000000000002,1.44,-0.0542
2021-05-20,7.21,12.1,43.1,8.709999999999999,24.7,15.1,28.799999999999997,15.5,12.9,26.400000000000002,1.16,-0.9490000000000001
2021-05-21,7.249999999999999,10.5,48,8.57,22.6,13.5,27.900000000000002,13.600000000000001,11.200000000000001,24.8,1.38,-1.6500000000000001
2021-05-22,8.03,8.110000000000001,46.2,8.38,23,14.899999999999999,27.700000000000003,13.700000000000001,11.3,23.799999999999997,1.02,-0.83
2021-05-23,7.93,8.33,48.5,9.68,21.6,16.3,28.4,12.9,9.54,22.6,-0.208,-0.771
2021-05-24,7.93,7.85,50.4,9.959999999999999,19.1,14.099999999999998,26.700000000000003,12,9.11,19.8,-4.8,-2.29
2021-05-25,7.53,6.63,45.9,9.6,18.9,12.3,26.1,12.2,8.49,18.8,-5.4,-2.15
2021-05-26,9.28,7.08,48.6,11.1,18.8,11.3,26.200000000000003,12.9,10.7,18.5,-4.5,-2.2800000000000002
2021-05-27,8.61,10.2,46.300000000000004,16,22.400000000000002,14.099999999999998,27.700000000000003,14.399999999999999,14.299999999999999,21,-1.44,0.39899999999999997
2021-05-28,8.780000000000001,8.43,45.7,11.700000000000001,19.3,13.3,27.6,14.799999999999999,13.700000000000001,18.4,-2.02,-1.4200000000000002
2021-05-29,8.35,10.2,46.400000000000006,11.5,20,14.2,29.2,15.7,14.000000000000002,18.4,-2.86,-2.26
2021-05-30,9.11,9.520000000000001,44.6,10.8,19.400000000000002,13.3,27.200000000000003,15.6,14.2,18.3,-2.37,-3.01
2021-05-31,12.4,7.02,51.800000000000004,12.6,16.3,9.92,24.099999999999998,15.299999999999999,13.700000000000001,14.7,-1.8499999999999999,-4.109999999999999
2021-06-01,9.9,10.9,48.699999999999996,10.9,19.3,14.000000000000002,25.4,15.6,16.3,18.7,1.7999999999999998,-1.05
2021-06-02,10.9,11.700000000000001,48.199999999999996,9.379999999999999,22.3,17.7,24.2,16.7,15.1,20.8,4.38,0.672
2021-06-03,10.100000000000001,11.3,46.9,8.35,21,16.900000000000002,21.7,15.1,12.8,20.599999999999998,4.87,2.88
2021-06-04,11.899999999999999,11.3,50.3,8.82,20.599999999999998,17.5,23.3,13.8,10.2,19.3,3.4099999999999997,0.987
2021-06-05,10.4,9.41,47.3,8.559999999999999,19.8,15.4,23.200000000000003,11.899999999999999,9.08,19.6,4.109999999999999,1.28
2021-06-06,9.81,9.04,49.4,8.57,18.9,15.8,24.5,11.200000000000001,9.19,19.900000000000002,4.5,1.68
2021-06-07,8.5,7.37,48.199999999999996,10.5,19.6,14.499999999999998,28.999999999999996,12.4,10.7,19.5,3.75,1.6099999999999999
2021-06-08,7.13,7.75,44.3,8.43,18.5,14.000000000000002,30.9,11.3,8.790000000000001,19.2,1.05,-0.17500000000000002
2021-06-09,5.489999999999999,8.99,43.8,8.110000000000001,17,14.099999999999998,31.900000000000002,9.74,7.61,18.7,-1.5699999999999998,-2.15
2021-06-10,5.510000000000001,9.11,40.9,8.86,17.7,15,36.5,10,9.379999999999999,18.2,-1.5599999999999998,-3.0300000000000002
2021-06-11,4.44,8.32,41.199999999999996,8.459999999999999,17.599999999999998,14.799999999999999,22.6,10.4,9.55,18.2,-2.4899999999999998,-2.83
2021-06-12,5.34,8.07,39,8.36,17.299999999999997,15.8,24.099999999999998,10.7,10.299999999999999,17.299999999999997,-3.39,-3.5000000000000004
2021-06-13,5.09,8.450000000000001,37.1,8.63,18.2,14.6,21.8,10.5,10,17.8,-3.29,-3.61
2021-06-14,3.7900000000000005,7.85,36.7,8.07,19.1,16.400000000000002,17.4,8.799999999999999,7.55,17.8,-2.26,-4.16
2021-06-15,2.67,7.380000000000001,36.3,8.309999999999999,18.099999999999998,15.5,17,8.709999999999999,9.73,16.5,-2.0500000000000003,-4.5600000000000005
2021-06-16,2.36,5.83,34.1,8.89,18.6,13.5,17.599999999999998,8.58,11.5,16.5,-1.34,-4.61
2021-06-17,1.3,4.82,38.4,6.950000000000001,17.599999999999998,12.6,14.7,7.06,10.8,16.900000000000002,-2.5700000000000003,-5.99
2021-06-18,3.5700000000000003,4.3,41.6,8.290000000000001,18.6,14.7,19.8,8.780000000000001,13.700000000000001,19.400000000000002,-1.09,-4.73
2021-06-19,4.109999999999999,4.71,40.9,7.199999999999999,18,14.099999999999998,23,9.39,15.6,21.6,0.76,-4.06
2021-06-20,2.04,3.8699999999999997,40.8,6.550000000000001,16.8,16.2,24.3,9.9,13.100000000000001,20.4,1,-4.04
2021-06-21,1.34,4.61,40.6,6.22,15.9,16.5,25.6,11.1,14.7,20.599999999999998,0.781,-3.49
2021-06-22,2.65,7.3999999999999995,42.1,7.46,16.6,16.3,26.1,12.2,13.5,22.8,2.2800000000000002,-2.75
2021-06-23,3.47,6.52,43.1,7.23,17.1,15.9,24.7,12.1,13.100000000000001,23.9,2.79,-1.5699999999999998
2021-06-24,4.71,7.470000000000001,41.5,7.91,20.3,16,26,12.5,12.2,23.5,3.25,-1.63
2021-06-25,4.5,8.73,40.400000000000006,6.15,19.5,13.700000000000001,24.9,11.5,8.97,20.7,0.777,-2.29
2021-06-26,3.6700000000000004,8.82,42,5.96,19.900000000000002,11.799999999999999,24.7,11.4,5.5,17.9,-0.367,-2.34
2021-06-27,4.73,9.66,41.699999999999996,5.029999999999999,19.5,9.64,23.3,9.24,6.39,17.5,-2.25,-2.4699999999999998
2021-06-28,5.47,9.16,40.400000000000006,4.2700000000000005,19.1,7.8,24.7,9.32,5.54,17.1,-2.29,-1.51
2021-06-29,6.329999999999999,6.92,37,5.13,19,9.2,24.3,10.4,7.39,15.8,-2.37,-0.836
2021-06-30,4.54,7.13,36.1,6.58,19.6,10.2,25.3,11.1,7.199999999999999,16.400000000000002,-2.4,-0.972
2021-07-01,4.9399999999999995,6.6000000000000005,34,6.23,15.4,10.100000000000001,23.799999999999997,11.5,7.920000000000001,17.2,-4.49,0.034
2021-07-02,4.01,6.92,31.4,7.84,15.5,10.7,23.799999999999997,11.1,10.2,18.2,-2.91,0.249
2021-07-03,3.52,4.71,25.3,9.17,13.5,10.7,22.8,7.960000000000001,8.870000000000001,15.9,-3.82,0.197
2021-07-04,10.4,10.2,37.9,14.499999999999998,19.8,13.3,29.4,17.4,15.6,21.5,2.04,3.2300000000000004
2021-07-05,9.42,7.24,31.900000000000002,13.600000000000001,19.7,9.65,28.000000000000004,16.400000000000002,10.7,18.3,1.35,2.19
2021-07-06,3.49,8.06,36.9,9.2,16.8,11.899999999999999,24,10.6,11.200000000000001,20.200000000000003,-3.15,-0.34199999999999997
2021-07-07,3.51,8.52,38.3,8.84,16.400000000000002,12.7,24.2,8.72,11.3,19.900000000000002,-1.8499999999999999,-0.428
2021-07-08,2.58,8.6,35.5,8.04,17.8,11.899999999999999,24.3,8.92,10,17.9,-0.371,-1.91
2021-07-09,2.8899999999999997,6.800000000000001,35.6,6.619999999999999,19,11.700000000000001,24,9.610000000000001,7.5200000000000005,16.5,-1.4200000000000002,-2.75
2021-07-10,2.17,6.529999999999999,31.900000000000002,7.91,18.6,13.3,21.8,7.8,7.68,15.9,-2.7199999999999998,-3.7900000000000005
2021-07-11,3.26,3.2099999999999995,31.8,8.18,18.6,12.7,20.1,9.99,7.59,15.9,-2.79,-4.04
2021-07-12,6,4.590000000000001,33.900000000000006,11,20.1,15,19.7,14.000000000000002,7.48,17.299999999999997,-2.96,-3.82
2021-07-13,4.2299999999999995,5.48,33.6,9.91,18.3,13.4,20.200000000000003,12.2,7.51,16.3,-3.4799999999999995,-3.85
2021-07-14,4.55,3.5700000000000003,30.8,9.51,17.599999999999998,12.6,19.1,12.8,7.17,15.299999999999999,-5.75,-3.85
2021-07-15,2.68,4.37,33.900000000000006,12.2,16.3,14.000000000000002,20.4,13.200000000000001,6.36,16.6,-4.84,-3.8
2021-07-16,2.71,3.88,38.6,12.4,14.299999999999999,13.100000000000001,21.4,14.2,7.61,17.4,-2.4,-3.54
2021-07-17,3.25,2.96,43.7,11.1,14.6,12.5,23.599999999999998,15.8,7.7700000000000005,18.2,-1.4200000000000002,-3.71
2021-07-18,3.47,5.86,46.2,10,15.5,12.8,24.8,15.5,7.19,17.299999999999997,2.12,-4.09
2021-07-19,3.45,4.32,48.8,9.26,15.299999999999999,12.4,26,11.799999999999999,8.84,16.7,3.08,-4.14
2021-07-20,3.95,2.73,48.3,8.59,15.6,11.899999999999999,25.1,12.5,7.9799999999999995,16.8,3.37,-4.9
2021-07-21,3.06,3.61,48.699999999999996,8.19,14.399999999999999,11.1,24.8,14.399999999999999,7.46,17,3.54,-4.91
2021-07-22,5.79,4.68,51.4,8.110000000000001,17.2,11.200000000000001,24.8,14.099999999999998,8.709999999999999,17.5,3.8,-3.88
2021-07-23,5.8500000000000005,6.09,47.9,8.32,19,13.3,24.6,14.6,8.780000000000001,17.4,0.159,-4.14
2021-07-24,7.340000000000001,7.17,41.8,8.709999999999999,18.9,11.4,23.599999999999998,14.899999999999999,9.1,16.8,-0.101,-3.7699999999999996
2021-07-25,7.23,6.43,40.1,9.25,18.5,11.3,24.8,14.6,10.299999999999999,18.3,-3.2399999999999998,-2.6100000000000003
2021-07-26,5.38,8.38,35.8,8.43,19.400000000000002,12.2,25.5,14.399999999999999,8.68,18.5,-4.04,-2.01
2021-07-27,8.540000000000001,8.38,35.099999999999994,9.180000000000001,20.5,13.8,25.3,14.799999999999999,9.91,18.7,-3.11,-1.5
2021-07-28,10.7,9.120000000000001,39.7,9.94,22.6,13.900000000000002,25.6,14.399999999999999,10.9,18.9,-1.6400000000000001,-1.5
2021-07-29,10,8.59,40.300000000000004,9.04,21.7,13.5,25.7,12.3,12.6,19.1,-2.53,-1.97
2021-07-30,11.899999999999999,9.02,38.800000000000004,8.7,21.5,9.55,23.400000000000002,12.1,12.4,19.400000000000002,-1.05,-1.4000000000000001
2021-07-31,11.700000000000001,7.9,44.800000000000004,8.67,20.200000000000003,14.7,23,11.3,11.899999999999999,19.6,-0.494,-1.79
2021-08-01,7.71,6.800000000000001,42.4,7.109999999999999,19.2,10.2,20.4,7.779999999999999,9.54,18.3,-2.4699999999999998,-3.1399999999999997
2021-08-02,8.35,6.35,41.199999999999996,7.84,20.3,8.459999999999999,19,8.41,10.2,18.4,-2.1399999999999997,-2.8400000000000003
2021-08-03,7.5200000000000005,6.88,41.199999999999996,7.9399999999999995,19.6,9.62,18.7,7.140000000000001,11.200000000000001,18.9,-1.68,-1.3299999999999998
2021-08-04,7.16,8.99,41.4,6.800000000000001,18.099999999999998,12,18.7,5.82,11.4,19.400000000000002,-1.69,-0.966
